PersonID,Score,PhoneUsage,AppDownloadFrequency,AppUsage,Age,Gender,Country,Time,NewSurvey,Source
1,40.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-16 22:37:36,facebook
5,50.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,0,2013-11-16 22:42:42,facebook
7,30.0,DAILY,YEARLY,DAILY,20 - 24,female,US,0,2013-11-16 22:46:37,facebook
8,30.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,0,2013-11-16 22:52:50,facebook
9,40.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-16 22:59:49,facebook
10,30.0,DAILY,WEEKLY,DAILY,20 - 24,male,US,0,2013-11-16 23:06:23,facebook
11,20.0,DAILY,WEEKLY,DAILY,20 - 24,male,US,0,2013-11-16 23:07:47,facebook
13,20.0,DAILY,MONTHLY,DAILY,25 - 29,male,US,0,2013-11-16 23:16:34,facebook
14,60.0,DAILY,MONTHLY,WEEKLY,20 - 24,female,HK,0,2013-11-16 23:23:31,facebook
15,70.0,DAILY,WEEKLY,DAILY,20 - 24,male,US,0,2013-11-16 23:26:42,facebook
17,30.0,DAILY,NEVER,NEVER,20 - 24,male,US,0,2013-11-16 23:30:32,facebook
20,70.0,DAILY,YEARLY,DAILY,25 - 29,male,US,0,2013-11-16 23:33:39,facebook
21,30.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-16 23:34:42,facebook
22,40.0,DAILY,MONTHLY,DAILY,15 - 19,male,US,0,2013-11-16 23:37:53,facebook
24,60.0,DAILY,MONTHLY,DAILY,25 - 29,male,US,0,2013-11-16 23:49:36,facebook
25,50.0,DAILY,WEEKLY,DAILY,20 - 24,female,US,0,2013-11-16 23:50:56,facebook
27,10.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 00:02:08,facebook
29,50.0,DAILY,WEEKLY,DAILY,30 - 34,male,US,0,2013-11-17 00:09:14,facebook
30,20.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,0,2013-11-17 00:11:08,facebook
32,50.0,DAILY,YEARLY,DAILY,20 - 24,female,US,0,2013-11-17 00:20:03,facebook
34,40.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,0,2013-11-17 00:24:25,facebook
36,50.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 00:29:39,facebook
37,60.0,WEEKLY,NEVER,NEVER,20 - 24,female,US,0,2013-11-17 00:31:34,facebook
39,70.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,0,2013-11-17 00:36:35,facebook
40,60.0,DAILY,YEARLY,WEEKLY,20 - 24,female,US,0,2013-11-17 00:39:29,facebook
44,60.0,DAILY,MONTHLY,DAILY,25 - 29,male,US,0,2013-11-17 00:53:13,facebook
46,30.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 01:05:23,facebook
48,50.0,DAILY,NEVER,NEVER,20 - 24,male,US,0,2013-11-17 01:30:25,facebook
49,20.0,DAILY,DAILY,DAILY,20 - 24,male,US,0,2013-11-17 01:48:34,facebook
51,40.0,DAILY,YEARLY,MONTHLY,20 - 24,female,JO,0,2013-11-17 01:53:47,facebook
52,50.0,DAILY,MONTHLY,DAILY,20 - 24,female,KR,0,2013-11-17 01:55:49,facebook
53,40.0,DAILY,WEEKLY,DAILY,20 - 24,male,SZ,0,2013-11-17 01:56:45,facebook
54,40.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 02:02:58,facebook
55,50.0,DAILY,WEEKLY,DAILY,20 - 24,male,US,0,2013-11-17 02:12:30,facebook
56,50.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 02:13:16,facebook
62,30.0,DAILY,YEARLY,MONTHLY,20 - 24,female,US,0,2013-11-17 05:59:43,facebook
63,20.0,DAILY,YEARLY,DAILY,20 - 24,female,US,0,2013-11-17 06:08:03,facebook
64,40.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,0,2013-11-17 07:23:07,facebook
65,30.0,DAILY,WEEKLY,DAILY,25 - 29,female,IN,0,2013-11-17 07:31:13,facebook
66,60.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 08:15:57,facebook
68,20.0,DAILY,YEARLY,DAILY,20 - 24,female,US,0,2013-11-17 08:16:20,facebook
69,0.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 08:29:23,facebook
73,20.0,DAILY,WEEKLY,DAILY,20 - 24,female,US,0,2013-11-17 09:40:47,facebook
77,50.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 10:31:22,facebook
78,30.0,DAILY,MONTHLY,DAILY,20 - 24,male,CN,0,2013-11-17 10:35:04,facebook
80,30.0,DAILY,YEARLY,DAILY,25 - 29,male,US,0,2013-11-17 10:37:17,facebook
82,30.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 10:47:25,facebook
83,60.0,DAILY,MONTHLY,DAILY,15 - 19,male,US,0,2013-11-17 10:51:56,facebook
85,40.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,0,2013-11-17 11:43:26,facebook
87,40.0,DAILY,YEARLY,MONTHLY,20 - 24,male,US,0,2013-11-17 12:13:40,facebook
88,40.0,DAILY,WEEKLY,DAILY,20 - 24,male,US,0,2013-11-17 12:22:28,facebook
89,60.0,DAILY,YEARLY,DAILY,25 - 29,male,US,0,2013-11-17 12:26:18,facebook
90,40.0,DAILY,MONTHLY,DAILY,25 - 29,male,US,0,2013-11-17 12:28:14,facebook
93,80.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 12:57:43,facebook
94,30.0,DAILY,YEARLY,DAILY,20 - 24,male,US,0,2013-11-17 13:07:46,facebook
96,40.0,DAILY,MONTHLY,DAILY,15 - 19,male,US,0,2013-11-17 13:41:07,facebook
97,70.0,DAILY,NEVER,NEVER,20 - 24,male,US,0,2013-11-17 13:46:35,facebook
101,70.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 14:22:12,facebook
103,50.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 17:38:14,facebook
104,30.0,DAILY,DAILY,WEEKLY,20 - 24,female,US,0,2013-11-17 18:10:47,facebook
105,50.0,DAILY,WEEKLY,DAILY,20 - 24,female,US,0,2013-11-17 18:46:23,facebook
107,10.0,DAILY,MONTHLY,WEEKLY,25 - 29,female,IL,0,2013-11-17 19:43:28,facebook
108,60.0,DAILY,NEVER,NEVER,20 - 24,female,US,0,2013-11-17 20:25:50,facebook
110,30.0,DAILY,YEARLY,DAILY,30 - 34,male,FR,0,2013-11-17 20:34:42,facebook
111,40.0,WEEKLY,YEARLY,WEEKLY,20 - 24,female,US,0,2013-11-17 20:42:28,facebook
113,50.0,DAILY,YEARLY,YEARLY,20 - 24,male,US,0,2013-11-17 20:54:45,facebook
114,50.0,DAILY,MONTHLY,DAILY,20 - 24,male,IN,0,2013-11-17 20:55:20,facebook
115,20.0,DAILY,MONTHLY,MONTHLY,20 - 24,female,HK,0,2013-11-17 20:56:42,facebook
119,20.0,DAILY,WEEKLY,DAILY,20 - 24,female,US,0,2013-11-17 21:21:33,facebook
121,40.0,DAILY,NEVER,NEVER,20 - 24,female,US,0,2013-11-17 21:26:53,facebook
129,50.0,DAILY,MONTHLY,WEEKLY,15 - 19,female,US,0,2013-11-17 21:35:34,facebook
131,10.0,DAILY,WEEKLY,DAILY,20 - 24,male,LB,0,2013-11-17 21:38:01,facebook
132,30.0,DAILY,WEEKLY,DAILY,20 - 24,male,US,0,2013-11-17 21:39:00,facebook
133,50.0,DAILY,NEVER,NEVER,20 - 24,male,US,0,2013-11-17 21:42:04,facebook
134,30.0,DAILY,YEARLY,WEEKLY,20 - 24,male,US,0,2013-11-17 21:44:40,facebook
136,20.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,0,2013-11-17 21:48:46,facebook
137,20.0,DAILY,YEARLY,WEEKLY,20 - 24,male,US,0,2013-11-17 21:50:04,facebook
138,30.0,DAILY,YEARLY,DAILY,20 - 24,female,US,0,2013-11-17 21:50:47,facebook
139,50.0,DAILY,MONTHLY,WEEKLY,15 - 19,male,US,0,2013-11-17 21:58:10,facebook
140,40.0,DAILY,YEARLY,DAILY,20 - 24,male,US,0,2013-11-17 22:00:21,facebook
141,30.0,WEEKLY,NEVER,NEVER,15 - 19,female,US,0,2013-11-17 22:01:20,facebook
142,40.0,DAILY,WEEKLY,DAILY,20 - 24,female,US,0,2013-11-17 22:05:36,facebook
144,40.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 22:14:31,facebook
146,30.0,DAILY,WEEKLY,DAILY,15 - 19,male,US,0,2013-11-17 22:15:58,facebook
147,70.0,DAILY,MONTHLY,DAILY,15 - 19,female,US,0,2013-11-17 22:16:18,facebook
148,50.0,DAILY,NEVER,NEVER,20 - 24,female,US,0,2013-11-17 22:18:51,facebook
150,40.0,DAILY,MONTHLY,WEEKLY,15 - 19,male,US,0,2013-11-17 22:23:51,facebook
151,70.0,DAILY,WEEKLY,DAILY,15 - 19,female,US,0,2013-11-17 22:27:13,facebook
152,40.0,DAILY,WEEKLY,DAILY,20 - 24,male,US,0,2013-11-17 22:28:57,facebook
157,30.0,WEEKLY,NEVER,NEVER,15 - 19,female,US,0,2013-11-17 22:53:50,facebook
158,30.0,DAILY,MONTHLY,DAILY,20 - 24,male,CN,0,2013-11-17 22:57:17,facebook
162,80.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-17 23:34:48,facebook
164,50.0,DAILY,WEEKLY,DAILY,20 - 24,male,US,0,2013-11-17 23:44:17,facebook
165,50.0,DAILY,MONTHLY,DAILY,20 - 24,female,BR,0,2013-11-17 23:47:13,facebook
166,60.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,0,2013-11-17 23:51:10,facebook
167,40.0,DAILY,MONTHLY,DAILY,35 - 39,female,US,0,2013-11-18 00:37:01,facebook
168,20.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-18 00:46:44,facebook
170,40.0,DAILY,MONTHLY,DAILY,25 - 29,male,US,0,2013-11-18 01:37:15,facebook
171,60.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,0,2013-11-18 02:22:53,facebook
172,50.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-18 02:32:26,facebook
174,40.0,DAILY,YEARLY,DAILY,25 - 29,male,FR,0,2013-11-18 02:54:10,facebook
175,30.0,YEARLY,YEARLY,YEARLY,20 - 24,male,US,0,2013-11-18 03:19:03,facebook
177,60.0,WEEKLY,WEEKLY,WEEKLY,20 - 24,male,US,0,2013-11-18 03:47:12,facebook
178,40.0,DAILY,MONTHLY,DAILY,15 - 19,female,US,0,2013-11-18 04:12:35,facebook
179,60.0,DAILY,MONTHLY,WEEKLY,20 - 24,male,US,0,2013-11-18 04:22:48,facebook
180,60.0,DAILY,MONTHLY,DAILY,15 - 19,male,US,0,2013-11-18 05:02:05,facebook
181,30.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-18 05:36:01,facebook
183,50.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,0,2013-11-18 08:17:40,facebook
184,50.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,0,2013-11-18 08:44:19,facebook
185,40.0,DAILY,MONTHLY,DAILY,20 - 24,male,MY,0,2013-11-18 08:48:01,facebook
187,40.0,DAILY,WEEKLY,DAILY,30 - 34,male,DE,0,2013-11-18 09:37:12,facebook
190,60.0,DAILY,DAILY,DAILY,20 - 24,male,US,0,2013-11-18 09:50:12,facebook
191,30.0,DAILY,YEARLY,DAILY,20 - 24,female,US,0,2013-11-18 09:51:47,facebook
193,50.0,DAILY,MONTHLY,WEEKLY,25 - 29,male,DE,0,2013-11-18 10:24:29,facebook
197,30.0,DAILY,MONTHLY,MONTHLY,20 - 24,male,US,0,2013-11-18 11:52:48,facebook
201,50.0,DAILY,MONTHLY,DAILY,30 - 34,male,DE,0,2013-11-18 13:00:39,facebook
202,20.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-18 14:11:16,facebook
203,40.0,DAILY,MONTHLY,DAILY,25 - 29,female,DE,0,2013-11-18 14:53:39,facebook
204,50.0,DAILY,YEARLY,DAILY,20 - 24,male,US,0,2013-11-18 15:00:24,facebook
205,40.0,DAILY,MONTHLY,DAILY,20 - 24,male,DE,0,2013-11-18 15:20:11,facebook
206,70.0,DAILY,WEEKLY,DAILY,20 - 24,female,US,0,2013-11-18 15:27:02,facebook
209,40.0,DAILY,YEARLY,DAILY,25 - 29,female,US,0,2013-11-18 17:17:51,facebook
210,50.0,,,,,,,0,2013-11-18 17:30:06,facebook
212,30.0,DAILY,MONTHLY,DAILY,20 - 24,male,UK,0,2013-11-18 18:21:37,facebook
214,40.0,DAILY,YEARLY,WEEKLY,15 - 19,female,US,0,2013-11-18 18:52:32,facebook
215,40.0,DAILY,WEEKLY,DAILY,20 - 24,male,US,0,2013-11-18 19:11:30,facebook
216,60.0,,,,,,,0,2013-11-18 19:55:43,facebook
219,40.0,DAILY,MONTHLY,DAILY,25 - 29,male,NG,0,2013-11-18 22:13:50,facebook
220,70.0,DAILY,YEARLY,DAILY,20 - 24,female,US,0,2013-11-18 22:52:23,facebook
221,50.0,DAILY,MONTHLY,DAILY,25 - 29,male,US,0,2013-11-18 23:34:03,facebook
222,50.0,DAILY,WEEKLY,DAILY,25 - 29,male,UG,0,2013-11-19 00:28:34,facebook
223,40.0,DAILY,MONTHLY,DAILY,20 - 24,male,US,0,2013-11-19 14:16:57,facebook
224,40.0,DAILY,DAILY,DAILY,20 - 24,male,NG,0,2013-11-19 20:36:55,facebook
227,80.0,DAILY,MONTHLY,DAILY,20 - 24,male,IN,0,2013-11-22 12:54:22,facebook
229,40.0,,,,,,,0,2013-11-23 14:29:57,facebook
230,50.0,,,,,,,1,2013-11-23 16:27:31,facebook
231,40.0,,,,,,,1,2013-11-23 16:45:24,facebook
232,50.0,,,,,,,1,2013-11-23 16:57:27,facebook
235,60.0,DAILY,MONTHLY,DAILY,30 - 34,male,US,1,2013-11-23 17:51:00,piazza
236,80.0,DAILY,NEVER,NEVER,20 - 24,female,US,1,2013-11-24 18:47:13,facebook
237,50.0,WEEKLY,NEVER,NEVER,55 - 59,female,US,1,2013-11-24 20:53:50,facebook
238,30.0,DAILY,,,15 - 19,male,US,1,2013-11-25 03:05:50,facebook
239,20.0,DAILY,MONTHLY,DAILY,15 - 19,male,US,1,2013-11-25 03:17:30,facebook
242,40.0,WEEKLY,WEEKLY,WEEKLY,25 - 29,female,US,1,2013-12-03 11:12:23,facebook
243,40.0,DAILY,MONTHLY,DAILY,30 - 34,male,US,1,2013-12-03 14:51:14,turk
244,50.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,1,2013-12-03 14:52:10,turk
245,50.0,DAILY,NEVER,NEVER,60 - 64,female,US,1,2013-12-03 14:53:01,turk
246,40.0,DAILY,YEARLY,DAILY,30 - 34,male,IN,1,2013-12-03 14:53:29,turk
247,50.0,MONTHLY,NEVER,NEVER,75 - 79,male,US,1,2013-12-03 14:53:45,turk
248,40.0,DAILY,MONTHLY,WEEKLY,25 - 29,female,US,1,2013-12-03 14:56:59,turk
249,60.0,DAILY,MONTHLY,DAILY,30 - 34,female,US,1,2013-12-03 15:04:04,turk
250,70.0,DAILY,MONTHLY,DAILY,30 - 34,male,US,1,2013-12-03 15:13:31,turk
252,30.0,DAILY,YEARLY,WEEKLY,65 - 69,female,US,1,2013-12-03 15:40:40,turk
253,40.0,DAILY,YEARLY,MONTHLY,50 - 54,female,US,1,2013-12-03 15:48:40,turk
254,40.0,DAILY,WEEKLY,DAILY,35 - 39,male,US,1,2013-12-03 16:31:48,turk
255,40.0,DAILY,MONTHLY,DAILY,30 - 34,female,US,1,2013-12-03 17:08:33,turk
256,50.0,DAILY,WEEKLY,DAILY,25 - 29,female,US,1,2013-12-03 17:35:31,turk
257,30.0,DAILY,YEARLY,MONTHLY,15 - 19,female,US,1,2013-12-03 20:22:08,turk
258,50.0,DAILY,MONTHLY,DAILY,20 - 24,male,CN,1,2013-12-03 20:22:35,turk
259,30.0,DAILY,MONTHLY,WEEKLY,20 - 24,,MY,1,2013-12-03 20:25:24,turk
260,20.0,DAILY,MONTHLY,DAILY,15 - 19,male,US,1,2013-12-03 20:28:58,turk
261,50.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,1,2013-12-03 20:30:12,turk
